"taks","p-value","test_stat"
1,0.545272636318159,171.211457808339
2,0.573286643321661,131.894360634118
3,0.551275637818909,172.391873866125
4,0.541770885442721,149.65745830683
5,0.56528264132066,160.927263701385
6,0.560780390195098,126.67608339786
7,0.537768884442221,178.123752270923
8,0.56528264132066,125.02689153395
9,0.55527763881941,155.409214559436
10,0.545772886443222,183.945928887962
11,0.551775887943972,162.848831763956
12,0.56128064032016,150.912195159325
13,0.564282141070535,149.483137549339
14,0.535267633816908,194.231325979638
15,0.567783891945973,143.690213696478
16,0.546273136568284,171.964631313115
17,0.564782391195598,133.062215854713
18,0.542271135567784,173.567942794999
19,0.569284642321161,182.520817838327
20,0.576288144072036,176.302275297353
21,0.556278139069535,157.077843104494
22,0.510255127563782,174.006011144103
23,0.552276138069035,147.233195439342
24,0.567783891945973,196.156648413608
25,0.556778389194597,168.08598232193
26,0.562781390695348,176.302275297353
27,0.56728364182091,143.72481639863
28,0.546273136568284,189.509310622231
29,0.572286143071536,154.316074993351
30,0.535267633816908,197.321080677279
31,0.554277138569285,180.685353378661
32,0.537268634317159,169.911617718982
33,0.543271635817909,161.784946209026
34,0.542271135567784,142.540666836269
35,0.55927963981991,153.851279931968
36,0.538769384692346,177.507925153715
37,0.544272136068034,154.40269583716
38,0.576788394197099,162.242750977209
39,0.56328164082041,133.260725867204
40,0.552276138069035,179.623821954409
41,0.55927963981991,181.913821771501
42,0.556778389194597,139.550140952632
43,0.544272136068034,203.509750818401
44,0.564282141070535,156.66517070174
45,0.536768384192096,178.372144775396
46,0.538769384692346,146.526518122664
47,0.551775887943972,171.196015558628
48,0.532266133066533,145.934472048225
49,0.562281140570285,155.413692381015
50,0.544772386193097,169.96762924635
51,0.551775887943972,147.995620184821
52,0.548774387193597,182.899321770094
53,0.566283141570785,164.206781314543
54,0.544272136068034,168.722047310401
55,0.550275137568784,163.290376963228
56,0.580290145072536,147.223635437461
57,0.558279139569785,165.657195286409
58,0.55527763881941,125.576242009023
59,0.503251625812907,141.245624156648
60,0.555777888944472,139.385041035632
61,0.527263631815908,159.423000600735
62,0.534767383691846,169.970382731476
63,0.549274637318659,176.154020438585
64,0.555777888944472,141.586693907989
65,0.561780890445223,191.31661731099
66,0.556278139069535,176.623611164927
67,0.55527763881941,158.066360343567
68,0.546273136568284,157.234048498159
69,0.568284142071036,146.40348256309
70,0.560780390195098,165.405212232922
71,0.559779889944973,191.194099896457
72,0.544272136068034,187.189924254965
73,0.568784392196098,146.28788420853
74,0.542771385692846,146.427928312326
75,0.542771385692846,147.10398863815
76,0.566783391695848,176.628315284097
77,0.563781890945473,129.23099808981
78,0.570785392696348,146.602394919947
79,0.568284142071036,137.25527553347
80,0.572286143071536,142.411620803884
81,0.577288644322161,136.003442271733
82,0.571785892946473,147.123802427215
83,0.552776388194097,173.787402710813
84,0.543271635817909,141.278959256181
85,0.546273136568284,202.480783986663
86,0.55927963981991,174.935392043986
87,0.584292146073036,124.267733232135
88,0.542271135567784,191.713221299895
89,0.56528264132066,184.23692895443
90,0.556778389194597,142.439887591008
91,0.550775387693847,165.138061708568
92,0.581290645322661,111.135974416312
93,0.555777888944472,170.865232036689
94,0.570785392696348,132.385417463647
95,0.539769884942471,149.697952539077
96,0.551275637818909,148.077638587307
97,0.572786393196598,130.3542506226
98,0.531765882941471,139.451588418683
99,0.534267133566783,191.854919669105
100,0.544272136068034,182.666291632859
101,0.552776388194097,155.17478841038
102,0.544272136068034,174.53201636582
103,0.541770885442721,142.645237494753
104,0.574287143571786,125.738357570669
105,0.562781390695348,151.807164468527
106,0.556278139069535,186.577773770618
107,0.547273636818409,194.559783703595
108,0.545272636318159,138.451748784362
109,0.556778389194597,197.217794817158
110,0.55527763881941,173.341056555022
111,0.56528264132066,183.121812010368
112,0.554277138569285,194.33193546737
113,0.531765882941471,154.50269504866
114,0.559779889944973,123.444172525407
115,0.56728364182091,207.407280023039
116,0.546273136568284,136.926892872762
117,0.560780390195098,182.507405901257
118,0.56128064032016,169.940971829011
119,0.543271635817909,186.037664329816
120,0.56528264132066,132.075827685562
121,0.534767383691846,148.577345272861
122,0.565782891445723,143.1297884074
123,0.540270135067534,167.951688734856
124,0.540270135067534,200.888159365107
125,0.546773386693347,168.650856849922
126,0.549274637318659,153.498551846079
127,0.581290645322661,173.619906129146
128,0.542771385692846,160.257139336866
129,0.569284642321161,175.074492585513
130,0.551275637818909,154.100827531956
131,0.558779389694847,145.585922279235
132,0.56528264132066,157.100673271535
133,0.552276138069035,187.068443918143
134,0.554277138569285,167.117873248452
135,0.55927963981991,132.165588522169
136,0.562281140570285,162.110673001399
137,0.575287643821911,173.011070601596
138,0.572786393196598,159.621951342897
139,0.539769884942471,166.69480292644
140,0.551775887943972,154.178662778084
141,0.538769384692346,134.29073026414
142,0.562781390695348,153.969602676543
143,0.543771885942971,144.599810490349
144,0.579789894947474,151.900458033309
145,0.544272136068034,184.849137330899
146,0.549774887443722,155.633981393121
147,0.541270635317659,183.820503372986
148,0.535267633816908,152.735012180307
149,0.552276138069035,131.582733501345
150,0.537768884442221,178.941494211621
151,0.558279139569785,145.942701659014
152,0.573286643321661,137.534492740113
153,0.568784392196098,180.066561787719
154,0.542771385692846,178.180483080064
155,0.556278139069535,167.542183628337
156,0.56728364182091,169.665553386106
157,0.564282141070535,147.206736161074
158,0.564782391195598,139.683308697314
159,0.55527763881941,184.048067005516
160,0.540770385192596,148.71547436868
161,0.559779889944973,175.929081748463
162,0.577788894447224,144.587106009294
163,0.574787393696848,151.607862161165
164,0.564782391195598,170.872040322006
165,0.585292646323162,159.684939607056
166,0.549274637318659,145.307865026814
167,0.571785892946473,157.180526928962
168,0.582791395697849,192.769732533872
169,0.562281140570285,178.357508717372
170,0.541270635317659,162.432186294482
171,0.540770385192596,203.136161085123
172,0.543271635817909,176.465656154458
173,0.561780890445223,168.905999507465
174,0.555777888944472,168.780018537865
175,0.563781890945473,130.297060079932
176,0.538769384692346,181.297152534152
177,0.551775887943972,216.35574666905
178,0.531765882941471,176.343732554588
179,0.540770385192596,143.904768649155
180,0.532266133066533,217.023566692243
181,0.55727863931966,154.508137010452
182,0.56128064032016,139.506687438596
183,0.530765382691346,148.409685015379
184,0.548774387193597,157.566868078513
185,0.561780890445223,146.255462133345
186,0.546773386693347,165.630615310918
187,0.566283141570785,220.300656441207
188,0.544772386193097,137.926517183317
189,0.546773386693347,158.342327127016
190,0.537768884442221,182.274255092592
191,0.55727863931966,177.275825402552
192,0.55727863931966,164.01591722267
193,0.561780890445223,165.09198923129
194,0.513256628314157,189.389916973685
195,0.555777888944472,204.537314699945
196,0.55327663831916,159.418504304943
197,0.550275137568784,174.563818942813
198,0.543771885942971,177.751053688038
199,0.564782391195598,187.481714497691
200,0.556278139069535,159.157438904523
201,0.55727863931966,139.482534317502
202,0.531765882941471,159.706050160469
203,0.551275637818909,196.164852728942
204,0.548274137068534,184.941199197052
205,0.587293646823412,152.643953722519
206,0.558779389694847,193.261803071058
207,0.579789894947474,152.324721208496
208,0.573786893446723,157.98790455498
209,0.559779889944973,167.755102966417
210,0.569284642321161,163.602331887087
211,0.547773886943472,206.899011223315
212,0.550275137568784,160.040729725083
213,0.554777388694347,154.750390192044
214,0.550275137568784,183.62426969943
215,0.55927963981991,153.915184268645
216,0.535767883941971,162.386599514514
217,0.573286643321661,144.373503344806
218,0.540770385192596,185.649987567222
219,0.551775887943972,174.928602882449
220,0.570285142571286,135.751985316805
221,0.48224112056028,167.983912499281
222,0.56328164082041,149.066670911476
223,0.539269634817409,141.383850803765
224,0.545272636318159,195.864197208985
225,0.56728364182091,139.755275773834
226,0.558779389694847,193.344948451111
227,0.562781390695348,154.411879314949
228,0.553776888444222,182.079798846412
229,0.542771385692846,177.049234248388
230,0.526263131565783,182.205086910856
231,0.55527763881941,183.253827978605
232,0.56328164082041,150.448867472225
233,0.550775387693847,140.354874385363
234,0.558779389694847,128.91051980857
235,0.562781390695348,175.820478187768
236,0.561780890445223,162.30265226667
237,0.548774387193597,160.705948633405
238,0.563781890945473,142.966551639808
239,0.564782391195598,164.073370872334
240,0.544772386193097,179.089868423564
241,0.55727863931966,166.634094040012
242,0.569784892446223,170.01322396663
243,0.568284142071036,172.980476348065
244,0.563781890945473,138.277214834871
245,0.56528264132066,146.357944917221
246,0.544772386193097,156.256487560961
247,0.55327663831916,179.115047287756
248,0.547773886943472,176.155551223402
249,0.548774387193597,210.784252256227
250,0.538269134567284,153.550866847046
251,0.572286143071536,158.357018021856
252,0.562781390695348,188.636350746394
253,0.572286143071536,165.705360995734
254,0.570785392696348,153.269878674978
255,0.56528264132066,171.814221547739
256,0.522761380690345,174.576948119869
257,0.530265132566283,150.319443641876
258,0.546273136568284,204.762858492645
259,0.537268634317159,156.574018206325
260,0.554777388694347,169.016887657709
261,0.55327663831916,135.677067293974
262,0.567783891945973,163.157244921247
263,0.558779389694847,165.382300756493
264,0.55927963981991,142.43982357727
265,0.52576288144072,182.848129742039
266,0.544272136068034,165.628387260202
267,0.551775887943972,176.312059890304
268,0.582291145572786,190.670829229279
269,0.568784392196098,152.631474753603
270,0.547773886943472,192.070538897944
271,0.566283141570785,191.664831764425
272,0.549274637318659,154.116832205394
273,0.555777888944472,124.806935249119
274,0.56528264132066,142.039179777893
275,0.542771385692846,147.314130130743
276,0.551775887943972,155.058225876678
277,0.544772386193097,154.805129691622
278,0.551275637818909,175.047630036396
279,0.56728364182091,184.033833170948
280,0.533266633316658,207.65315646376
281,0.546273136568284,176.969971956246
282,0.551775887943972,151.884642156287
283,0.563781890945473,187.715038714068
284,0.544272136068034,155.608853795458
285,0.569784892446223,192.734281000343
286,0.564282141070535,157.777797700911
287,0.566783391695848,182.110070073446
288,0.566283141570785,179.995206712928
289,0.566783391695848,137.967595712837
290,0.535267633816908,188.076406040935
291,0.575787893946973,176.605998753866
292,0.555777888944472,149.793508689275
293,0.547273636818409,185.567422808138
294,0.547773886943472,160.172429630743
295,0.576288144072036,157.042564374004
296,0.568784392196098,132.72080510555
297,0.563781890945473,155.71334693827
298,0.556778389194597,192.021790028483
299,0.569784892446223,134.568742294523
300,0.541270635317659,142.586546518543
301,0.539769884942471,123.187495283983
302,0.525262631315658,162.373916159588
303,0.564282141070535,139.106296410739
304,0.560280140070035,159.642060983947
305,0.52776388194097,160.645213513619
