"bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
176.328960081211,122.679367167908,149.970650804445,159.846950580715,154.473310572435
177.161240764152,128.249302367862,141.260037519391,135.908104060229,183.335991352835
181.727151762421,147.369492694078,184.511565221076,147.62011883562,178.207893451941
140.811905555574,177.269192027908,186.130181644546,152.227416464828,188.751195366307
191.235124572537,144.901568276416,143.286327847292,159.951051333147,164.18538416023
167.70975402225,145.745033803481,152.595746190823,136.00721051979,171.936472203916
173.228784810031,183.739111336068,152.054299021974,168.826027435548,155.458615364624
221.801792040554,157.366870740937,165.488350596241,180.267590003565,171.378124952986
180.857608037386,140.488963450133,159.103554763783,152.352799918547,170.657767875028
145.96073303122,139.062425734104,169.56163028552,156.612004472841,168.261042161825
195.751274515435,104.50341843795,165.289735429897,150.862367554648,163.117441543705
154.853697430998,154.001277514807,215.204764556775,142.738813034472,148.497651478471
151.073601683107,118.811955530883,158.557041265403,135.930028209948,158.800094086662
173.045094229177,147.622659477278,144.881093351705,132.986110505125,147.002510837059
187.852539309296,166.892916249179,204.910796806354,151.467651314903,198.103427443195
181.651961390347,165.406098213853,186.251506248459,142.226543215825,157.189718813103
199.073589235372,163.0320686498,161.65107350666,156.202952186096,192.693227931104
159.258756781506,111.580905911145,194.596034877724,120.570601610633,174.864882486193
181.134097452201,112.528385298022,192.67915261032,200.184419714582,177.986533717108
166.072353171381,150.487059415329,161.869558351019,173.292400368415,168.802177493826
144.847179797557,142.760204975788,185.272321265639,201.113955618287,151.540748841526
203.310944545282,129.254893217762,209.668467392807,154.743543958311,183.366523074547
184.856501012737,134.945585620694,156.51685250599,168.566514466416,142.285678534673
158.079613777397,139.631435834832,145.312937190867,140.963865557198,167.259167673939
187.060506911077,111.830442518014,204.569229932123,133.994661998179,171.863236542056
207.302114975968,172.737591331036,153.539674409551,175.731359698313,164.561267644661
182.398648955029,128.024224654556,148.476290462378,125.322539939338,142.756457025363
186.132970255581,125.986030171064,169.172287314895,145.934104896113,148.122259846799
175.273365245975,174.074410803908,155.272761936741,129.532528373594,179.837060794325
171.779892454354,146.042492786941,214.260378290182,105.454491697675,150.766953375332
125.79075986133,137.274378122347,158.060205857921,166.377491347512,154.546539228101
172.818448420179,152.082555434813,168.860440327902,159.642399287908,124.758333046698
168.653540569357,137.082157246863,184.979449727867,158.769326171901,124.574400741416
171.197231043732,112.254627354932,216.760792831026,192.135168461216,177.832677611257
163.658966311622,101.697436194898,171.85458686748,167.752017127007,164.340870725864
178.503258755072,131.979986332682,152.456593315222,141.598336297493,169.401144850559
166.449829396585,120.584290754991,183.383438249576,124.395588739684,170.141315220613
212.248365379928,111.447433236914,182.094682111146,118.392181256875,183.055101845774
149.203792590163,157.579041593262,158.210268632417,161.467169891745,180.605567731392
201.434835626036,121.862422215634,176.021872733359,164.821970658469,148.928751790695
171.815877438003,128.907219850216,190.490028501705,197.094486133617,161.758172478436
185.69496917406,120.329134682014,231.177621865863,161.987097313758,161.547142933356
181.322364195415,146.914090315405,210.02741633827,157.634024890258,185.536401165085
168.939584438883,143.661317430769,163.775967771257,150.863889904744,183.594081373304
182.738167930443,116.829032800148,212.232435628141,136.740052708729,187.137309129991
160.865887456756,156.216655668052,185.154443249178,151.988388382076,170.542763070159
159.511896242229,134.927035364702,172.017255435795,165.742990327381,166.490029049711
194.562074964815,103.881901167689,179.168372063634,147.730070786761,154.996523190651
184.016226612552,159.826336942648,158.108619712238,159.635698444674,140.406440941971
207.939572958258,170.181270984218,186.185389948832,144.31283963957,166.527721365019
179.267294405159,127.341224019828,173.660768556512,162.435832327382,165.492573235622
165.079956626006,116.350595863368,188.560051469858,166.376719994328,144.912183274586
187.3113313411,141.647153931602,159.475181201166,150.163109670481,174.510801976899
143.522555935522,138.477366678471,156.828955888858,174.594488350824,167.332822189069
163.130240310714,122.172489921647,172.75958171125,150.57682667398,174.284548091479
201.711092342839,170.864848201296,160.058604939259,149.46512533731,171.472473043978
206.783638232507,144.993234250153,170.37119044192,158.168960225118,168.43522013258
181.519729338613,128.703475218488,162.825905031454,133.958676777453,121.248711839662
195.460561209794,160.758628827776,201.15852922941,158.341976031544,150.874443446178
149.816284135188,153.520741676269,164.950322583091,143.751276374712,148.670441900503
110.110731100768,138.910815856605,186.658397418816,144.619279965806,142.820350691547
