"","taks","p-value","test_stat"
"390",390,0,348.900538890717
"391",391,0,270.401161902665
"392",392,0,413.129184970085
"393",393,0,340.654156937402
"394",394,0,316.78229092048
"395",395,0,308.481820454436
"396",396,0,355.824614813625
"397",397,0,365.170715357816
"398",398,0,370.889031631161
"399",399,0,352.496154375284
"400",400,0,346.64756330437
"401",401,0,326.746558497738
"402",402,0,296.520024239423
"403",403,0,359.378619643208
"404",404,0,378.279707392526
"405",405,0,343.603215217671
"406",406,0,335.928310372768
"407",407,0,330.722197812298
"408",408,0,295.805660278265
"409",409,0,336.095141455935
"410",410,0,318.192749019297
"411",411,0,360.841986269615
"412",412,0,354.410137429985
"413",413,0,345.633610347599
"414",414,0,295.584403785477
"415",415,0,382.274753010007
"416",416,0,381.455487327664
"417",417,0,307.772195884549
"418",418,0,333.983085136781
"419",419,0,322.05395513725
"420",420,0,340.178154180093
"421",421,0,306.951063861569
"422",422,0,353.410955900705
"423",423,0,343.393403539063
"424",424,0,325.390214271736
"425",425,0,324.237818936636
"426",426,0,382.04052851658
"427",427,0,399.63522263667
"428",428,0,343.901197693536
"429",429,0,320.488455968472
"430",430,0,293.399696670345
"431",431,0,352.656226409433
"432",432,0,385.351934373362
"433",433,0,377.043883421729
"434",434,0,324.858210888008
"435",435,0,344.375761498946
"436",436,0,344.547863185774
"437",437,0,365.438775894841
"438",438,0,361.454299939368
"439",439,0,334.442472663784
"440",440,0,293.88455756209
"441",441,0,390.72018250643
"442",442,0,328.38657055055
"443",443,0,338.833624603574
"444",444,0,414.723166539114
"445",445,0,293.774007344531
"446",446,0,282.693114186465
"447",447,0,346.218011359363
"448",448,0,351.964721248945
"449",449,0,406.054811003736
"450",450,0,305.072715404499
"451",451,0,373.507449151881
"452",452,0,347.36841685154
"453",453,0,322.173050620914
"454",454,0,315.888253320578
"455",455,0,302.763870460769
"456",456,0,399.30000271918
"457",457,0,434.456431094929
"458",458,0,302.990338038436
"459",459,0,309.188528084712
"460",460,0,296.666039236597
"461",461,0,350.731214467977
"462",462,0,330.777806171385
"463",463,0,297.537959510422
"464",464,0,302.344723126764
"465",465,0,341.747626159289
"466",466,0,375.799420594242
"467",467,0,355.466072646838
"468",468,0,316.813324352159
"469",469,0,333.976309761614
"470",470,0,322.297650698495
"471",471,0,296.852396875765
"472",472,0,301.200096739722
"473",473,0,358.885912034719
"474",474,0,302.97651746439
"475",475,0,300.205413708925
"476",476,0,294.13776379911
"477",477,0,299.959972091357
"478",478,0,294.641484659878
"479",479,0,309.557151493917
"480",480,0,320.302481181987
"481",481,0,315.808216332498
"482",482,0,301.337301147828
"483",483,0,404.818589788322
"484",484,0,282.451764179557
"485",485,0,341.052851013749
"486",486,0,311.482430967942
"487",487,0,341.052851013749
"488",488,0,370.613231558733
"489",489,0,365.203880080637
"490",490,0,315.156383987625
"491",491,0,348.963402279692
"492",492,0,359.843539229392
"493",493,0,434.600237039832
"494",494,0,289.586921512377
"495",495,0,332.827389705053
"496",496,0,403.174392047284
"497",497,0,335.268648914653
"498",498,0,282.761835919316
"499",499,0,307.257953878681
"500",500,0,257.383590909165
